subject	date	video	rating	time	trialNo
S31377411	26/June/2018	33.mp4	3	13596;	28
S31377411	26/June/2018	24.mp4	4	23572;	29
S31377411	26/June/2018	15.mp4	5	13119;4814;	30
S31377411	26/June/2018	25.mp4	5	16484;2788;	31
S31377411	26/June/2018	29.mp4	2	12716;	32
S31377411	26/June/2018	27.mp4	5	17022;	33
S31377411	26/June/2018	9.mp4	3	41130;2007;	34
S31377411	26/June/2018	8.mp4	2	35816;	35
S33485765	26/June/2018	1.mp4	4	18067;5886;	1
S33485765	26/June/2018	2.mp4	4	25830;18;38;	2
S33485765	26/June/2018	3.mp4	3	27223;	3
S33485765	26/June/2018	34.mp4	4	17645;	4
S33485765	26/June/2018	13.mp4	5	19574;3511;	5
S33485765	26/June/2018	11.mp4	4	38401;2488;	6
S33485765	26/June/2018	17.mp4	5	13926;2612;	7
S33485765	26/June/2018	30.mp4	4	25531;	8
S33485765	26/June/2018	29.mp4	4	19628;	9
S33485765	26/June/2018	22.mp4	5	18044;1335;	10
S33485765	26/June/2018	9.mp4	3	45576;2991;	11
S33485765	26/June/2018	12.mp4	5	113501;	12
S33485765	26/June/2018	7.mp4	3	37528;776;	13
S33485765	26/June/2018	20.mp4	5	37624;1553;	14
S33485765	26/June/2018	26.mp4	5	15599;	15
S33485765	26/June/2018	33.mp4	4	15188;	16
S33485765	26/June/2018	21.mp4	5	16671;	17
S33485765	26/June/2018	15.mp4	5	13522;3773;	18
S33485765	26/June/2018	16.mp4	4	25531;1099;	19
S33485765	26/June/2018	31.mp4	3	25692;33;	20
S33485765	26/June/2018	32.mp4	4	16131;	21
S33485765	26/June/2018	24.mp4	5	23611;	22
S33485765	26/June/2018	14.mp4	5	37314;3414;	23
S33485765	26/June/2018	5.mp4	3	54664;24;	24
S33485765	26/June/2018	28.mp4	4	12764;	25
S33485765	26/June/2018	19.mp4	4	24613;	26
S33485765	26/June/2018	8.mp4	4	28444;2752;	27
