subject	date	maze	trialNo	optimal_steps	steps_in_tree	steps	decisions	opt_decisions	path	times
S622759	26/October/2016	lab	11	21	26	29	9	5	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	994;248;785;279;936;576;664;1680;240;800;856;240;312;360;336;976;385;935;224;256;288;544;272;256;312;272;632;264;
S622759	26/October/2016	labyrinth3	12	7	8	11	1	0	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);	920;264;296;392;288;304;656;308;916;200;
S622759	26/October/2016	garden	13	21	23	26	5	4	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(3,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	836;447;394;374;528;456;432;400;352;304;528;696;697;271;272;272;328;392;400;1209;431;280;272;544;272;
S622759	26/October/2016	roomG	14	18	21	25	6	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	885;216;296;401;279;328;856;288;809;263;409;279;944;745;983;496;920;242;294;289;303;600;296;336;
S622759	26/October/2016	tworooms	15	8	8	12	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);p(1,2);	852;272;303;417;319;352;680;281;263;601;223;
S625801	26/October/2016	tworooms	4	8	8	10	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,2);	2009;359;482;1445;490;479;3374;512;784;
S625801	26/October/2016	courtyard	5	5	5	7	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	4798;425;350;719;439;857;
S625801	26/October/2016	library	6	12	12	14	3	3	p(0,0);p(1,0);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(7,4);	3095;3351;696;599;7079;1455;495;520;1233;334;744;904;735;
S625801	26/October/2016	cathedral	7	16	18	20	6	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);	1269;327;1872;360;426;1533;408;2064;352;400;1080;279;624;392;776;855;551;400;752;
S625801	26/October/2016	cubicles	8	8	9	13	4	3	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);	5478;464;1729;375;952;439;897;415;3046;993;470;296;
S625801	26/October/2016	lab	9	10	10	13	2	2	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	1197;335;809;304;1879;365;937;962;366;425;785;312;
S625801	26/October/2016	ikea	10	16	17	19	4	3	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);p(1,7);	955;377;370;676;360;872;1081;344;846;296;391;448;3049;398;616;818;310;632;
S625801	26/October/2016	roomG	11	13	13	17	3	3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	1302;321;350;833;311;423;857;344;710;288;432;401;1007;892;303;317;
S625801	26/October/2016	museum	12	14	16	19	5	3	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	1466;494;938;471;598;391;816;312;980;372;151;273;408;344;383;784;561;271;
S625801	26/October/2016	bunker3	13	14	16	19	4	2	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	1032;272;519;287;352;377;824;360;815;344;856;231;296;344;265;711;889;278;
S625801	26/October/2016	labyrinth3	14	7	8	11	1	0	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,2);p(0,2);	1217;277;419;830;295;352;816;256;1568;279;
S625801	26/October/2016	garden	15	21	21	24	5	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	1152;328;816;207;816;352;808;376;311;313;663;272;353;342;504;673;336;668;244;375;447;1103;281;
S633374	21/October/2016	tworooms	4	18	22	24	8	5	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(7,4);p(7,3);p(7,2);p(6,2);p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,2);	1385;734;455;361;360;647;624;417;352;529;327;431;577;295;305;1352;279;313;288;663;272;449;1064;
S633374	21/October/2016	bunker3	5	14	16	19	4	2	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(0,5);p(0,6);p(0,5);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	1095;432;320;327;362;398;1825;288;599;304;1089;287;384;344;792;368;864;224;
S633374	21/October/2016	cathedral	6	7	8	10	2	1	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);	1215;271;304;561;321;623;473;759;919;
S633374	21/October/2016	ikea	7	11	12	17	3	2	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);p(1,7);	1062;334;288;1090;342;506;781;337;1024;359;433;423;689;335;568;296;
S633374	21/October/2016	lab	8	22	28	31	9	5	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(0,6);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	863;360;326;401;1520;489;359;697;369;583;600;288;352;311;344;433;672;288;1087;272;305;280;311;384;321;335;312;321;567;383;
S633374	21/October/2016	labyrinth3	9	7	8	11	1	0	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);	1211;309;370;328;344;376;402;517;920;248;
S633374	21/October/2016	cubicles	10	9	9	13	4	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);	1130;704;391;409;353;360;472;368;872;663;304;361;
S633374	21/October/2016	garden	11	21	21	24	5	5	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	893;295;281;328;1808;263;888;272;376;305;767;248;495;368;522;497;343;591;296;360;511;370;470;
S633374	21/October/2016	roomG	12	13	13	17	3	3	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,1);	1007;392;383;311;331;367;577;416;592;382;369;375;1056;768;288;921;
S633374	21/October/2016	courtyard	13	5	5	7	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	771;928;432;384;495;857;
S633374	21/October/2016	museum	14	23	26	29	8	5	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(1,4);p(0,4);p(1,4);p(2,4);p(2,3);p(2,2);p(2,1);p(3,1);p(4,1);p(4,2);p(4,3);p(4,4);p(5,4);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);p(6,0);	974;492;585;433;391;407;656;480;473;343;473;304;311;625;392;1048;321;392;551;319;1113;312;289;407;271;297;384;367;
S633374	21/October/2016	library	15	14	16	18	4	3	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,2);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	1882;297;344;505;447;850;278;360;368;519;354;454;321;599;288;305;695;
S646424	21/October/2016	labyrinth3	4	11	12	15	2	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,4);p(3,3);p(2,3);p(1,3);p(1,2);p(0,2);	3330;478;517;1998;749;1450;6219;376;984;342;647;324;1419;281;
S646424	21/October/2016	ikea	5	11	13	15	3	1	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);p(1,7);	1385;296;303;687;477;564;3569;446;683;352;482;7800;424;717;
S646424	21/October/2016	tworooms	6	18	22	24	8	6	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,3);p(7,4);p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,2);	1495;344;355;866;331;874;2210;380;717;334;691;425;191;622;441;1061;324;390;335;448;434;250;666;
S646424	21/October/2016	garden	7	6	9	12	2	0	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(6,2);p(7,2);p(7,1);p(7,0);	1045;298;984;413;3837;361;384;999;366;634;381;
S646424	21/October/2016	courtyard	8	5	5	7	2	2	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	1141;411;449;4154;314;798;
S646424	21/October/2016	roomG	9	20	25	29	8	4	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(6,1);p(7,1);	1220;347;350;461;293;6867;1821;415;1254;374;390;380;1152;316;268;283;464;286;538;259;1317;383;252;317;516;912;317;500;
S646424	21/October/2016	cubicles	10	14	17	21	7	5	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(1,6);p(1,7);p(1,6);p(1,5);p(2,5);p(3,5);p(4,5);p(4,6);p(4,7);p(5,7);	3417;312;317;434;499;300;801;313;3669;280;351;298;1135;348;332;264;1269;266;326;504;
S646424	21/October/2016	lab	11	21	26	29	9	5	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,4);p(2,3);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);	1154;448;450;250;3783;429;384;1353;327;835;283;417;232;383;349;916;251;782;418;266;286;363;563;270;1241;540;699;380;
S646424	21/October/2016	museum	12	6	6	9	2	2	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(5,0);p(6,0);	928;348;551;1134;399;1998;750;763;
S646424	21/October/2016	cathedral	13	7	8	10	3	2	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);	2340;382;548;385;581;650;384;315;747;
S646424	21/October/2016	library	14	11	12	14	3	3	p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(1,4);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(7,4);	1644;314;484;381;1350;1144;272;733;315;400;400;866;815;
S646424	21/October/2016	bunker3	15	8	8	11	1	1	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(4,4);p(5,4);p(5,5);	994;269;502;249;433;614;835;399;734;864;
S649302	28/October/2016	tworooms	4	8	8	10	1	1	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(1,2);	2710;426;528;1074;528;632;4061;679;947;
